make,model,engine_code,engine_name,displacement,oilNorm,oilCapacity,brakeFluidType,coolantType,gearboxOilType,gearboxOilCapacity
Ford,Focus I,1.4,1.4L Zetec,1.4L,10W-40,4.0L,MISSING,MISSING,MISSING,MISSING
Ford,Focus I,1.6,1.6L Zetec DOHC,1.6L,10W-40,4.0L,MISSING,MISSING,MISSING,MISSING
Ford,Focus I,1.8,1.8L Zetec,1.8L,10W-40,4.5L,MISSING,MISSING,MISSING,MISSING
Ford,Focus II,1.4,1.4L Duratec,1.4L,5W-30,4.0L,MISSING,MISSING,MISSING,MISSING
Ford,Focus II,1.6,1.6L Ti-VCT,1.6L,5W-30,4.0L,MISSING,MISSING,MISSING,MISSING
Ford,Focus II,2.0,2.0L Duratec,2.0L,5W-30,4.5L,MISSING,MISSING,MISSING,MISSING
Ford,Focus II,2.0TDCi,2.0L TDCi Diesel,2.0L,5W-40,4.5L,MISSING,MISSING,MISSING,MISSING
Ford,Focus III,1.0T,1.0L EcoBoost,1.0L,5W-30,3.5L,MISSING,MISSING,MISSING,MISSING
Ford,Focus III,1.5T,1.5L EcoBoost,1.5L,5W-30,4.0L,MISSING,MISSING,MISSING,MISSING
Ford,Focus III,2.0T,2.0L EcoBoost,2.0L,5W-30,4.5L,MISSING,MISSING,MISSING,MISSING
Ford,Focus IV,1.0T,1.0L EcoBoost,1.0L,0W-20,3.5L,MISSING,MISSING,MISSING,MISSING
Ford,Focus IV,1.5T,1.5L EcoBoost,1.5L,0W-20,4.0L,MISSING,MISSING,MISSING,MISSING
Ford,Focus IV,1.5D,1.5L EcoBlue Diesel,1.5L,5W-30,4.0L,MISSING,MISSING,MISSING,MISSING
Honda,Civic I,D16Y7,1.6L SOHC,1.6L,10W-40,4.0L,MISSING,MISSING,MISSING,MISSING
Honda,Civic I,D16Y8,1.6L SOHC VTEC,1.6L,10W-40,4.0L,MISSING,MISSING,MISSING,MISSING
Honda,Civic I,1.5,1.5L 16V,1.5L,10W-40,3.8L,MISSING,MISSING,MISSING,MISSING
Honda,Civic II,1.3,1.3L i-VTEC,1.3L,5W-30,3.5L,MISSING,MISSING,MISSING,MISSING
Honda,Civic II,1.5,1.5L i-VTEC,1.5L,5W-30,3.8L,MISSING,MISSING,MISSING,MISSING
Honda,Civic II,1.8,1.8L i-VTEC,1.8L,5W-30,4.0L,MISSING,MISSING,MISSING,MISSING
Honda,Civic III,1.3,1.3L i-VTEC,1.3L,5W-30,3.5L,MISSING,MISSING,MISSING,MISSING
Honda,Civic III,1.5T,1.5L Turbo,1.5L,5W-30,3.8L,MISSING,MISSING,MISSING,MISSING
Honda,Civic III,1.8,1.8L i-VTEC,1.8L,5W-30,4.0L,MISSING,MISSING,MISSING,MISSING
Honda,Civic IV,1.5T,1.5L Turbo,1.5L,0W-20,3.8L,MISSING,MISSING,MISSING,MISSING
Honda,Civic IV,2.0,2.0L i-VTEC,2.0L,0W-20,4.5L,MISSING,MISSING,MISSING,MISSING
Honda,Civic IV,2.0T,2.0L Turbo Type R,2.0L,0W-20,4.5L,MISSING,MISSING,MISSING,MISSING
Peugeot,106,TU1JP,1.0L 8V,1.0L,10W-40,3.0L,MISSING,MISSING,MISSING,MISSING
Peugeot,106,TU3JP,1.1L 8V,1.1L,10W-40,3.5L,MISSING,MISSING,MISSING,MISSING
Peugeot,106,TU3A,1.4L 8V,1.4L,10W-40,3.5L,MISSING,MISSING,MISSING,MISSING
Toyota,Corolla I,1ZZ-FE,1.8L DOHC,1.8L,5W-30,4.5L,MISSING,MISSING,MISSING,MISSING
Toyota,Corolla I,1.6,1.6L DOHC,1.6L,5W-30,4.0L,MISSING,MISSING,MISSING,MISSING
Toyota,Corolla I,1.5,1.5L 16V,1.5L,5W-30,3.8L,MISSING,MISSING,MISSING,MISSING
Toyota,Corolla II,3ZZ-FE,1.6L DOHC,1.6L,5W-30,4.0L,MISSING,MISSING,MISSING,MISSING
Toyota,Corolla II,1ZZ-FE,1.8L DOHC,1.8L,5W-30,4.5L,MISSING,MISSING,MISSING,MISSING
