make,model,engine_code,engine_name,displacement,oilNorm,oilCapacity,brakeFluidType,coolantType,gearboxOilType,gearboxOilCapacity
Ford,Focus I,1.4,1.4L Zetec,1.4L,10W-40,4.0L,DOT 4,Motorcraft Orange,75W-90 API GL-4,2.0L
Ford,Focus I,1.6,1.6L Zetec DOHC,1.6L,10W-40,4.0L,DOT 4,Motorcraft Orange,75W-90 API GL-4,2.0L
Ford,Focus I,1.8,1.8L Zetec,1.8L,10W-40,4.5L,DOT 4,Motorcraft Orange,75W-90 API GL-4,2.0L
Ford,Focus II,1.4,1.4L Duratec,1.4L,5W-30,4.0L,DOT 4,Motorcraft Orange,75W-90 API GL-4,2.0L
Ford,Focus II,1.6,1.6L Ti-VCT,1.6L,5W-30,4.0L,DOT 4,Motorcraft Orange,75W-90 API GL-4,2.0L
Ford,Focus II,2.0,2.0L Duratec,2.0L,5W-30,4.5L,DOT 4,Motorcraft Orange,75W-90 API GL-4,2.0L
Ford,Focus II,2.0TDCi,2.0L TDCi Diesel,2.0L,5W-40,4.5L,DOT 4,Motorcraft Orange,75W-90 API GL-4,2.0L
Ford,Focus III,1.0T,1.0L EcoBoost,1.0L,5W-30,3.5L,DOT 4,Motorcraft Orange,75W-90 API GL-4,2.0L
Ford,Focus III,1.5T,1.5L EcoBoost,1.5L,5W-30,4.0L,DOT 4,Motorcraft Orange,75W-90 API GL-4,2.0L
Ford,Focus III,2.0T,2.0L EcoBoost,2.0L,5W-30,4.5L,DOT 4,Motorcraft Orange,75W-90 API GL-4,2.0L
Ford,Focus IV,1.0T,1.0L EcoBoost,1.0L,0W-20,3.5L,DOT 4,Motorcraft Orange,75W-90 API GL-4,2.0L
Ford,Focus IV,1.5T,1.5L EcoBoost,1.5L,0W-20,4.0L,DOT 4,Motorcraft Orange,75W-90 API GL-4,2.0L
Ford,Focus IV,1.5D,1.5L EcoBlue Diesel,1.5L,5W-30,4.0L,DOT 4,Motorcraft Orange,75W-90 API GL-4,2.0L
Honda,Civic I,D16Y7,1.6L SOHC,1.6L,10W-40,4.0L,DOT 4,Honda Genuine Coolant Blue,75W-90 API GL-4,1.7L
